Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.93     0.00      104     0.00     0.00  std::remove_reference<std::pair<Vect2<int> const, BoolChunk*>&>::type&& std::move<std::pair<Vect2<int> const, BoolChunk*>&>(std::pair<Vect2<int> const, BoolChunk*>&)
  0.00      1.93     0.00      102     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false> >::deallocate(std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false>*, unsigned long)
  0.00      1.93     0.00      102     0.00     0.00  void __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false> >::destroy<std::pair<Vect2<int> const, BoolChunk*> >(std::pair<Vect2<int> const, BoolChunk*>*)
  0.00      1.93     0.00      102     0.00     0.00  void __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false> >::construct<std::pair<Vect2<int> const, BoolChunk*>, std::pair<Vect2<int> const, BoolChunk*> const&>(std::pair<Vect2<int> const, BoolChunk*>*, std::pair<Vect2<int> const, BoolChunk*> const&)
  0.00      1.93     0.00      102     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node_base*>::deallocate(std::__detail::_Hash_node_base**, unsigned long)
  0.00      1.93     0.00      102     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false> >, std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false> >::_S_select_on_copy(std::allocator<std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false> > const&)
  0.00      1.93     0.00      102     0.00     0.00  std::_Hashtable<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::allocator<std::pair<Vect2<int> const, BoolChunk*> >, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_bucket_index(std::__detail::_Hash_node_value<std::pair<Vect2<int> const, BoolChunk*>, false> const&) const
  0.00      1.93     0.00      102     0.00     0.00  std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false>* std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false> > >::operator()<std::pair<Vect2<int> const, BoolChunk*> const&>(std::pair<Vect2<int> const, BoolChunk*> const&) const
  0.00      1.93     0.00      102     0.00     0.00  std::__detail::_Hash_code_base<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::__detail::_Select1st, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_copy_code(std::__detail::_Hash_node_code_cache<false>&, std::__detail::_Hash_node_code_cache<false> const&) const
  0.00      1.93     0.00      102     0.00     0.00  std::__detail::_Hash_code_base<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::__detail::_Select1st, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::__detail::_Hash_node_value<std::pair<Vect2<int> const, BoolChunk*>, false> const&, unsigned long) const
